gene,max_deviation,min_pvalue
MAFB,50.90008276424169,0.009900990099009901
GBP1,46.4418732314674,0.009900990099009901
IDO1,43.83064869660619,0.009900990099009901
CTSL,41.1195874970359,0.009900990099009901
CD68,40.144867123698326,0.009900990099009901
TYMP,39.37623493755428,0.009900990099009901
GBP5,39.15663526120031,0.009900990099009901
CD163,36.41978076714805,0.009900990099009901
FCGR2A,35.040870991898345,0.009900990099009901
CYBB,33.20420581127859,0.009900990099009901
SLCO2B1,32.364417334579365,0.009900990099009901
CD4,32.02970260390292,0.009900990099009901
CTSC,30.926019605144283,0.009900990099009901
UCP2,30.45962551985115,0.009900990099009901
ITGB2,29.467893548994034,0.009900990099009901
CD14,28.95554921571108,0.009900990099009901
ARRB2,27.416410921469343,0.009900990099009901
PLEKHO1,26.815232283665054,0.009900990099009901
PFKFB3,26.28322630947627,0.009900990099009901
NAIP,25.266618346041597,0.009900990099009901
IFIT3,25.08054039078327,0.009900990099009901
PGD,24.32850046726113,0.009900990099009901
STAB1,24.08743105108705,0.009900990099009901
UBD,23.837118416218438,0.009900990099009901
CD44,23.731233639823344,0.009900990099009901
LGMN,23.553537299863336,0.009900990099009901
GIMAP4,23.423031718364065,0.009900990099009901
SAMHD1,22.786974674772935,0.009900990099009901
APOB,22.358248954751133,1.0
PCDH11X,22.355775022282558,1.0
POU3F3,22.35337968778797,1.0
EPS8L3,22.35337968778797,1.0
LAMC2,22.35337968778797,1.0
MT1A,22.35220925138954,1.0
CHAD,22.351055904406127,1.0
GRM2,22.351055904406127,1.0
DEFA6,22.349918919441578,1.0
NR1I2,22.347691372180115,1.0
GPR3,22.347691372180115,1.0
FAT2,22.347691372180115,1.0
NOS1,22.34552171298742,1.0
LINGO2,22.344457229592134,1.0
FUT2,22.344457229592134,1.0
TEKT4,22.343405650456738,1.0
PDX1,22.343405650456738,1.0
CDH22,22.343405650456738,1.0
OPRD1,22.343405650456738,1.0
SLC6A5,22.34236651736013,1.0
HTR1E,22.34236651736013,1.0
TRPV6,22.34236651736013,1.0
CDHR2,22.34236651736013,1.0
NKX2-8,22.34133939857437,1.0
OPN1LW,22.34133939857437,1.0
HOXB13,22.34133939857437,1.0
SRD5A2,22.34133939857437,1.0
PON1,22.34133939857437,1.0
MAGEA12,22.34133939857437,1.0
CPA5,22.340323886768523,1.0
TAS2R38,22.340323886768523,1.0
GRIN2B,22.340323886768523,1.0
DMBX1,22.340323886768523,1.0
FGF23,22.340323886768523,1.0
EPHA8,22.340323886768523,1.0
KCNB1,22.340323886768523,1.0
A2ML1,22.340323886768523,1.0
FOXJ1,22.340323886768523,1.0
CST4,22.33931959712109,1.0
TTC23L,22.33931959712109,1.0
CALCA,22.33931959712109,1.0
BARHL2,22.33931959712109,1.0
FIBCD1,22.33931959712109,1.0
PRTN3,22.338326165616106,1.0
DCX,22.338326165616106,1.0
CST2,22.338326165616106,1.0
TMPRSS6,22.337343247501583,1.0
MOG,22.336370515891783,1.0
UCA1,22.336370515891783,1.0
MYLK2,22.336370515891783,1.0
GREB1L,22.33540766049723,1.0
ZDHHC22,22.33540766049723,1.0
